GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races
1400000US45019000100,45019000100,"Census Tract 1, Charleston County, South Carolina",2645,2313,303,0,26,0,3,0
1400000US45019000200,45019000200,"Census Tract 2, Charleston County, South Carolina",1587,1540,22,0,7,0,8,10
1400000US45019000300,45019000300,"Census Tract 3, Charleston County, South Carolina",500,491,0,0,9,0,0,0
1400000US45019000400,45019000400,"Census Tract 4, Charleston County, South Carolina",2939,2384,415,0,100,0,6,34
1400000US45019000500,45019000500,"Census Tract 5, Charleston County, South Carolina",2174,2106,13,0,11,0,8,36
1400000US45019000600,45019000600,"Census Tract 6, Charleston County, South Carolina",1597,1148,335,0,101,0,0,13
1400000US45019000700,45019000700,"Census Tract 7, Charleston County, South Carolina",3059,2327,607,7,6,0,26,86
1400000US45019000800,45019000800,"Census Tract 8, Charleston County, South Carolina",1248,502,698,0,0,9,0,39
1400000US45019000900,45019000900,"Census Tract 9, Charleston County, South Carolina",1702,107,1580,8,0,0,0,7
1400000US45019001000,45019001000,"Census Tract 10, Charleston County, South Carolina",1890,613,1211,0,15,0,36,15
1400000US45019001100,45019001100,"Census Tract 11, Charleston County, South Carolina",2604,146,2458,0,0,0,0,0
1400000US45019001200,45019001200,"Census Tract 12, Charleston County, South Carolina",1299,40,1234,9,0,0,0,16
1400000US45019001300,45019001300,"Census Tract 13, Charleston County, South Carolina",1795,135,1655,0,0,0,0,5
1400000US45019001400,45019001400,"Census Tract 14, Charleston County, South Carolina",1010,6,1004,0,0,0,0,0
1400000US45019001500,45019001500,"Census Tract 15, Charleston County, South Carolina",1615,153,1452,0,0,0,0,10
1400000US45019001600,45019001600,"Census Tract 16, Charleston County, South Carolina",1776,357,1370,0,2,0,0,47
1400000US45019001700,45019001700,"Census Tract 17, Charleston County, South Carolina",1979,645,1221,4,0,0,8,101
1400000US45019001800,45019001800,"Census Tract 18, Charleston County, South Carolina",1899,1631,166,7,34,0,37,24
1400000US45019001901,45019001901,"Census Tract 19.01, Charleston County, South Carolina",3767,3121,531,19,36,0,36,24
1400000US45019001902,45019001902,"Census Tract 19.02, Charleston County, South Carolina",3799,2911,829,0,46,0,0,13
1400000US45019002002,45019002002,"Census Tract 20.02, Charleston County, South Carolina",6003,5112,691,0,91,0,14,95
1400000US45019002003,45019002003,"Census Tract 20.03, Charleston County, South Carolina",5773,2573,3160,11,0,0,9,20
1400000US45019002004,45019002004,"Census Tract 20.04, Charleston County, South Carolina",1879,1845,5,9,0,0,0,20
1400000US45019002005,45019002005,"Census Tract 20.05, Charleston County, South Carolina",5340,5104,154,29,0,0,29,24
1400000US45019002006,45019002006,"Census Tract 20.06, Charleston County, South Carolina",4221,3301,913,0,0,0,0,7
1400000US45019002007,45019002007,"Census Tract 20.07, Charleston County, South Carolina",3090,3048,18,0,12,0,0,12
1400000US45019002101,45019002101,"Census Tract 21.01, Charleston County, South Carolina",7066,4531,2182,5,144,0,75,129
1400000US45019002102,45019002102,"Census Tract 21.02, Charleston County, South Carolina",5601,3952,1468,12,7,0,126,36
1400000US45019002200,45019002200,"Census Tract 22, Charleston County, South Carolina",2584,891,1668,0,0,0,2,23
1400000US45019002300,45019002300,"Census Tract 23, Charleston County, South Carolina",1558,687,796,0,0,0,69,6
1400000US45019002400,45019002400,"Census Tract 24, Charleston County, South Carolina",4730,1470,3195,4,9,0,20,32
1400000US45019002501,45019002501,"Census Tract 25.01, Charleston County, South Carolina",1440,941,498,1,0,0,0,0
1400000US45019002502,45019002502,"Census Tract 25.02, Charleston County, South Carolina",6537,2863,3488,7,21,0,88,70
1400000US45019002604,45019002604,"Census Tract 26.04, Charleston County, South Carolina",3666,3008,489,11,69,10,30,49
1400000US45019002605,45019002605,"Census Tract 26.05, Charleston County, South Carolina",4104,2481,1448,14,74,0,20,67
1400000US45019002606,45019002606,"Census Tract 26.06, Charleston County, South Carolina",2297,2079,210,0,0,0,8,0
1400000US45019002607,45019002607,"Census Tract 26.07, Charleston County, South Carolina",10035,7251,2198,21,326,0,44,195
1400000US45019002608,45019002608,"Census Tract 26.08, Charleston County, South Carolina",8108,5890,1940,12,148,0,39,79
1400000US45019002609,45019002609,"Census Tract 26.09, Charleston County, South Carolina",11587,8536,2667,102,105,0,99,78
1400000US45019002610,45019002610,"Census Tract 26.10, Charleston County, South Carolina",335,261,60,14,0,0,0,0
1400000US45019002701,45019002701,"Census Tract 27.01, Charleston County, South Carolina",2422,881,1438,0,38,0,14,51
1400000US45019002702,45019002702,"Census Tract 27.02, Charleston County, South Carolina",5423,1277,3953,16,53,0,85,39
1400000US45019002800,45019002800,"Census Tract 28, Charleston County, South Carolina",7188,6117,929,19,42,0,0,81
1400000US45019002900,45019002900,"Census Tract 29, Charleston County, South Carolina",2901,1769,1015,0,34,0,0,83
1400000US45019003000,45019003000,"Census Tract 30, Charleston County, South Carolina",3131,3113,4,0,0,0,0,14
1400000US45019003104,45019003104,"Census Tract 31.04, Charleston County, South Carolina",4293,2233,1326,0,102,4,527,101
1400000US45019003105,45019003105,"Census Tract 31.05, Charleston County, South Carolina",3291,1514,1605,40,38,0,7,87
1400000US45019003106,45019003106,"Census Tract 31.06, Charleston County, South Carolina",4115,2138,1689,36,56,0,36,160
1400000US45019003107,45019003107,"Census Tract 31.07, Charleston County, South Carolina",3940,1659,2092,11,55,0,91,32
1400000US45019003108,45019003108,"Census Tract 31.08, Charleston County, South Carolina",1879,998,747,19,37,0,23,55
1400000US45019003109,45019003109,"Census Tract 31.09, Charleston County, South Carolina",3430,2185,990,19,12,0,67,157
1400000US45019003110,45019003110,"Census Tract 31.10, Charleston County, South Carolina",6436,3404,2784,0,127,0,37,84
1400000US45019003111,45019003111,"Census Tract 31.11, Charleston County, South Carolina",6031,1951,3633,0,200,0,157,90
1400000US45019003112,45019003112,"Census Tract 31.12, Charleston County, South Carolina",10033,6868,2616,51,206,0,126,166
1400000US45019003113,45019003113,"Census Tract 31.13, Charleston County, South Carolina",2539,1280,1001,17,17,0,192,32
1400000US45019003200,45019003200,"Census Tract 32, Charleston County, South Carolina",3324,2530,523,50,27,0,51,143
1400000US45019003300,45019003300,"Census Tract 33, Charleston County, South Carolina",4057,915,3051,0,17,26,5,43
1400000US45019003400,45019003400,"Census Tract 34, Charleston County, South Carolina",4460,1713,2436,54,30,10,79,138
1400000US45019003500,45019003500,"Census Tract 35, Charleston County, South Carolina",3223,2111,965,0,46,0,68,33
1400000US45019003600,45019003600,"Census Tract 36, Charleston County, South Carolina",2791,1317,1328,0,111,0,0,35
1400000US45019003700,45019003700,"Census Tract 37, Charleston County, South Carolina",4212,824,3098,7,94,0,30,159
1400000US45019003800,45019003800,"Census Tract 38, Charleston County, South Carolina",3435,951,2436,0,0,0,48,0
1400000US45019003900,45019003900,"Census Tract 39, Charleston County, South Carolina",4129,1630,2310,0,83,0,41,65
1400000US45019004000,45019004000,"Census Tract 40, Charleston County, South Carolina",2828,394,2347,8,0,0,35,44
1400000US45019004100,45019004100,"Census Tract 41, Charleston County, South Carolina",1317,219,1082,0,6,3,0,7
1400000US45019004200,45019004200,"Census Tract 42, Charleston County, South Carolina",808,660,24,0,36,0,35,53
1400000US45019004300,45019004300,"Census Tract 43, Charleston County, South Carolina",3122,225,2758,0,0,0,7,132
1400000US45019004400,45019004400,"Census Tract 44, Charleston County, South Carolina",2057,260,1786,11,0,0,0,0
1400000US45019004500,45019004500,"Census Tract 45, Charleston County, South Carolina",1671,24,1600,0,40,0,0,7
1400000US45019004601,45019004601,"Census Tract 46.01, Charleston County, South Carolina",10375,8066,2100,0,78,15,0,116
1400000US45019004604,45019004604,"Census Tract 46.04, Charleston County, South Carolina",9328,7729,1457,11,48,0,25,58
1400000US45019004605,45019004605,"Census Tract 46.05, Charleston County, South Carolina",13097,11354,1317,56,212,0,81,77
1400000US45019004606,45019004606,"Census Tract 46.06, Charleston County, South Carolina",7232,6083,1010,3,34,0,28,74
1400000US45019004607,45019004607,"Census Tract 46.07, Charleston County, South Carolina",5564,5337,90,7,100,0,0,30
1400000US45019004700,45019004700,"Census Tract 47, Charleston County, South Carolina",7464,6511,716,10,80,12,17,118
1400000US45019004800,45019004800,"Census Tract 48, Charleston County, South Carolina",1911,1874,15,0,7,0,1,14
1400000US45019004900,45019004900,"Census Tract 49, Charleston County, South Carolina",4583,4512,12,5,25,3,2,24
1400000US45019005000,45019005000,"Census Tract 50, Charleston County, South Carolina",5091,1795,3235,0,12,0,10,39
